Nome do jogo;Gênero;Desenvolvedora;Console;Data de conclusão;Tempo (em float);Ano de lançamento
Streets of Rage 3 (SEGA Classics);Beat 'em Up;SEGA;Sega MegaDrive;09/12/22;1,1;1994
Altered Beast (SEGA Classics);Plataforma;SEGA;Sega MegaDrive;10/12/22;0,33;1988
Final Fight (Capcom Arcade Stadium);Beat 'em Up;Capcom;Arcade;10/12/22;1;1989
Ultimate Marvel Vs. Capcom 3;Luta;Capcom;PC;10/12/22;0,83;2011
Vectorman (SEGA Classics);Plataforma;SEGA;Sega MegaDrive;11/12/22;1;1995
Vectorman 2 (SEGA Classics);Plataforma;SEGA;Sega MegaDrive;12/12/22;1;1996
Ikari Warriors (SNK 40th Anniversary Collection);Shmup;SNK Games;Arcade;16/12/22;0,75;1986
Golden Axe (SEGA Classics);Beat 'em Up;SEGA;Sega MegaDrive;17/12/22;1;1989
Golden Axe 2 (SEGA Classics);Beat 'em Up;SEGA;Sega MegaDrive;17/12/22;1;1991
Golden Axe 3 (SEGA Classics);Beat 'em Up;SEGA;Sega MegaDrive;17/12/22;1;1993
Ristar (SEGA Classics);Plataforma;SEGA;Sega MegaDrive;18/12/22;1;1995
Super Bomberman 3;A��o;Hudson Soft;Super Nintendo;21/12/22;1,5;1995
Carrier Air Wing (Capcom Arcade Stadium);Shmup;Capcom;Arcade;23/12/22;1;1990
The Legend of Zelda;RPG de A��o;Nintendo;Nintendo 8-bits;24/12/22;8,28;1986
19XX: The War Against Destiny (Capcom Arcade Stadium);Shmup;Capcom;Arcade;24/12/22;1;1996
1944: The Loop Master (Capcom Arcade Stadium);Shmup;Capcom;Arcade;25/12/22;1,5;2000
Teenage Mutant Ninja Turtles (The Cowabunga Collection);Beat 'em Up;KONAMI;Arcade;26/12/22;1;1989
1941: Counter Attack (Capcom Arcade Stadium);Shmup;Capcom;Arcade;26/12/22;1;1990
1942 (Capcom Arcade Stadium);Shmup;Capcom;Arcade;26/12/22;1,5;1984
Senjo no Okami (Capcom Arcade Stadium);Shmup;Capcom;Arcade;26/12/22;1;1985
Progear (Capcom Arcade Stadium);Shmup;Capcom;Arcade;29/12/22;0,8;2001
Giga Wing (Capcom Arcade Stadium);Shmup;Capcom;Arcade;01/01/23;0,9;1999
Forgotten Worlds (Capcom Arcade Stadium);Shmup;Capcom;Arcade;01/01/23;1;1988
Cyberbots: Fullmetal Madness (Capcom Arcade Stadium);Luta;Capcom;Arcade;03/01/23;1;1995
Battle Circuit (Capcom Arcade Stadium);Beat 'em Up;Capcom;Arcade;03/01/23;1,3;1997
